Tanggal,Hari,Bulan,Tahun,Rayon,Weekend,Libur_Nasional,Jumlah Jukir,Total_Pendapatan
2023-02-01,Rabu,2,2023,2,0,0,82,1745000
2023-02-01,Rabu,2,2023,3,0,0,66,1787000
2023-02-01,Rabu,2,2023,4,0,0,122,1908000
2023-02-01,Rabu,2,2023,5,0,0,70,1937000
2023-02-02,Kamis,2,2023,1,0,0,80,1182000
2023-02-02,Kamis,2,2023,2,0,0,82,1746000
2023-02-02,Kamis,2,2023,3,0,0,66,1750000
2023-02-02,Kamis,2,2023,4,0,0,122,1885000
2023-02-02,Kamis,2,2023,5,0,0,70,1948000
2023-02-03,Jumat,2,2023,1,0,0,80,1180000
2023-02-03,Jumat,2,2023,2,0,0,82,1737000
2023-02-03,Jumat,2,2023,3,0,0,66,1661000
2023-02-03,Jumat,2,2023,4,0,0,122,1781000
2023-02-03,Jumat,2,2023,5,0,0,70,1932000
2023-02-04,Sabtu,2,2023,1,1,0,80,880000
2023-02-04,Sabtu,2,2023,2,1,0,82,1706000
2023-02-04,Sabtu,2,2023,3,1,0,66,1781000
2023-02-04,Sabtu,2,2023,4,1,0,122,1524000
2023-02-04,Sabtu,2,2023,5,1,0,70,1936000
2023-02-05,Minggu,2,2023,1,1,0,80,152000
2023-02-05,Minggu,2,2023,2,1,0,82,601000
2023-02-05,Minggu,2,2023,3,1,0,66,204000
2023-02-05,Minggu,2,2023,4,1,0,122,878000
2023-02-05,Minggu,2,2023,5,1,0,70,120000
2023-02-06,Senin,2,2023,1,0,0,80,1200000
2023-02-06,Senin,2,2023,2,0,0,82,1734000
2023-02-06,Senin,2,2023,3,0,0,66,1770000
2023-02-06,Senin,2,2023,4,0,0,122,1912000
2023-02-06,Senin,2,2023,5,0,0,70,1951000
2023-02-07,Selasa,2,2023,1,0,0,80,1175000
2023-02-07,Selasa,2,2023,2,0,0,82,1756000
2023-02-07,Selasa,2,2023,3,0,0,66,1739000
2023-02-07,Selasa,2,2023,4,0,0,122,1948000
2023-02-07,Selasa,2,2023,5,0,0,70,1940000
2023-02-08,Rabu,2,2023,1,0,0,80,1190000
2023-02-08,Rabu,2,2023,2,0,0,82,1732000
2023-02-08,Rabu,2,2023,3,0,0,66,1756000
